ID,国語,数学,英語,理科,社会,体育
2019001,36,66,79,8,27,44
2019002,88,54,9,25,57,54
2019003,27,16,96,6,15,84
2019004,55,36,34,35,72,28
2019005,84,73,4,43,74,66
2019006,39,57,66,96,96,35
2019007,72,51,17,8,68,9
2019008,71,64,16,77,77,72
2019009,9,2,19,12,17,37
2019010,90,27,70,88,10,79
2019011,72,98,80,48,70,26
2019012,32,93,76,5,76,80
2019013,4,89,25,91,44,56
2019014,11,11,80,23,68,80
2019015,33,95,25,49,46,21
2019016,21,62,55,93,33,91
2019017,76,10,80,95,51,61
2019018,65,17,58,26,46,63
2019019,77,53,2,89,92,20
2019020,52,84,91,84,41,14
