ID,国語,数学,英語,理科,社会,体育
2020001,86,41,93,65,54,37
2020002,1,54,76,86,28,20
2020003,32,28,42,36,88,52
2020004,58,58,35,1,28,2
2020005,39,18,39,51,36,19
2020006,17,71,98,23,17,97
2020007,92,7,24,23,66,86
2020008,90,40,35,97,47,48
2020009,25,30,17,74,64,45
2020010,4,71,55,60,57,7
2020011,97,15,30,36,28,17
2020012,60,11,64,77,37,37
2020013,34,49,78,61,78,77
2020014,74,3,32,89,82,36
2020015,25,75,91,90,19,4
2020016,65,86,23,44,61,76
2020017,67,46,93,56,2,45
2020018,71,5,15,72,48,72
2020019,52,65,77,16,53,87
2020020,21,88,63,54,20,17
