ID,国語,数学,英語,理科,社会,合計,判定
20030001,88,25,92,87,18,0, 
20030002,52,8,54,24,7,0, 
20030003,85,22,3,51,92,0, 
20030004,1,97,61,15,40,0, 
20030005,34,46,23,92,36,0, 
20030006,32,10,70,74,29,0, 
20030007,49,26,63,62,8,0, 
20030008,4,62,95,30,13,0, 
20030009,91,34,97,66,74,0, 
20030010,54,43,67,91,51,0, 
20030011,45,65,76,20,3,0, 
20030012,12,73,66,48,83,0, 
20030013,87,52,81,74,81,0, 
20030014,48,11,33,31,24,0, 
20030015,59,3,98,70,31,0, 
20030016,11,7,6,60,14,0, 
20030017,59,49,61,46,27,0, 
20030018,60,68,85,65,7,0, 
20030019,57,65,53,23,47,0, 
20030020,22,53,41,60,45,0, 
20030021,24,81,22,26,34,0, 
20030022,93,24,39,6,96,0, 
20030023,28,81,81,30,23,0, 
20030024,48,44,7,28,51,0, 
20030025,58,45,60,56,51,0, 
20030026,22,47,58,72,38,0, 
20030027,9,45,57,47,86,0, 
20030028,46,74,7,23,42,0, 
20030029,99,37,27,74,74,0, 
20030030,77,93,85,76,4,0, 
20030031,49,42,95,54,58,0, 
20030032,70,20,95,5,96,0, 
20030033,16,4,32,20,15,0, 
20030034,65,34,96,39,41,0, 
20030035,74,21,66,19,26,0, 
20030036,99,56,54,53,92,0, 
20030037,27,27,90,26,3,0, 
20030038,55,31,56,91,19,0, 
20030039,41,33,30,25,22,0, 
20030040,38,12,28,88,43,0, 
20030041,83,96,16,65,71,0, 
20030042,15,90,60,20,92,0, 
20030043,80,47,79,43,2,0, 
20030044,19,32,9,96,44,0, 
20030045,87,54,55,11,99,0, 
20030046,90,32,36,38,32,0, 
20030047,59,89,1,61,46,0, 
20030048,55,41,54,47,57,0, 
20030049,89,26,53,42,21,0, 
20030050,37,46,11,13,77,0, 
20030051,32,59,79,73,25,0, 
20030052,72,56,34,81,87,0, 
20030053,93,80,46,45,35,0, 
20030054,23,64,24,48,20,0, 
20030055,30,14,83,0,7,0, 
20030056,13,58,42,58,44,0, 
20030057,57,77,48,78,41,0, 
20030058,13,8,53,53,81,0, 
20030059,79,46,99,93,0,0, 
20030060,14,85,80,8,23,0, 
20030061,45,63,44,90,14,0, 
20030062,10,97,49,87,23,0, 
20030063,70,65,80,87,16,0, 
20030064,48,22,55,62,85,0, 
20030065,57,87,88,11,59,0, 
20030066,77,46,28,52,59,0, 
20030067,90,54,51,77,51,0, 
20030068,64,44,55,91,67,0, 
20030069,24,52,64,12,87,0, 
20030070,8,98,28,42,66,0, 
20030071,38,71,40,72,45,0, 
20030072,21,27,29,23,21,0, 
20030073,90,2,87,8,16,0, 
20030074,55,32,30,89,62,0, 
20030075,13,95,70,68,78,0, 
20030076,20,78,5,77,93,0, 
20030077,91,7,80,22,93,0, 
20030078,51,62,56,23,4,0, 
20030079,89,5,98,50,71,0, 
20030080,93,31,69,99,10,0, 
20030081,23,73,23,29,5,0, 
20030082,91,80,11,58,18,0, 
20030083,47,45,66,66,10,0, 
20030084,2,50,33,18,60,0, 
20030085,39,38,16,40,60,0, 
20030086,71,5,22,88,75,0, 
20030087,69,12,82,75,36,0, 
20030088,48,26,49,20,60,0, 
20030089,1,64,9,85,31,0, 
20030090,26,1,52,59,42,0, 
20030091,54,51,97,58,48,0, 
20030092,3,38,1,49,54,0, 
20030093,26,87,62,60,31,0, 
20030094,80,50,67,44,16,0, 
20030095,69,37,64,21,22,0, 
20030096,39,77,4,15,79,0, 
20030097,28,41,54,22,83,0, 
20030098,30,45,20,90,10,0, 
20030099,49,44,5,46,10,0, 
20030100,17,32,62,27,88,0, 
20030101,74,66,67,85,4,0, 
20030102,10,95,67,11,96,0, 
20030103,38,19,39,4,53,0, 
20030104,56,50,50,9,70,0, 
20030105,96,26,69,89,98,0, 
20030106,5,10,87,99,76,0, 
20030107,61,45,79,7,79,0, 
20030108,95,72,68,69,65,0, 
20030109,85,93,91,20,78,0, 
20030110,68,64,25,91,61,0, 
20030111,14,28,87,71,23,0, 
20030112,32,43,51,72,60,0, 
20030113,79,5,80,37,6,0, 
20030114,40,50,53,0,19,0, 
20030115,75,24,42,0,21,0, 
20030116,25,16,40,95,93,0, 
20030117,11,49,6,6,42,0, 
20030118,3,19,62,93,72,0, 
20030119,78,92,46,46,73,0, 
20030120,68,27,71,1,86,0, 
20030121,64,46,98,99,98,0, 
20030122,7,43,50,65,12,0, 
20030123,16,12,36,76,25,0, 
20030124,8,4,45,18,26,0, 
20030125,94,45,56,28,29,0, 
20030126,38,42,89,78,2,0, 
20030127,20,53,42,85,24,0, 
20030128,72,39,85,44,27,0, 
20030129,90,83,27,91,33,0, 
20030130,94,78,48,92,49,0, 
20030131,25,49,6,69,45,0, 
20030132,63,15,61,46,1,0, 
20030133,95,38,50,82,23,0, 
20030134,92,41,97,5,94,0, 
20030135,22,91,81,55,92,0, 
20030136,31,42,20,37,23,0, 
20030137,97,16,73,51,13,0, 
20030138,64,25,35,85,37,0, 
20030139,39,89,66,38,13,0, 
20030140,11,57,60,56,61,0, 
20030141,51,54,39,15,67,0, 
20030142,64,86,6,22,52,0, 
20030143,75,90,57,33,12,0, 
20030144,83,55,59,1,98,0, 
20030145,40,41,29,71,71,0, 
20030146,99,31,91,72,18,0, 
20030147,63,50,82,40,49,0, 
20030148,26,79,1,26,73,0, 
20030149,18,64,49,46,57,0, 
20030150,77,24,29,20,12,0, 
20030151,13,38,80,20,13,0, 
20030152,89,45,99,81,48,0, 
20030153,23,2,94,9,4,0, 
20030154,73,27,63,84,84,0, 
20030155,21,94,12,22,32,0, 
20030156,39,91,90,49,72,0, 
20030157,35,47,49,95,47,0, 
20030158,80,43,66,76,97,0, 
20030159,79,39,33,70,72,0, 
20030160,40,6,50,82,53,0, 
20030161,42,29,60,32,10,0, 
20030162,39,54,49,82,94,0, 
20030163,29,77,92,44,9,0, 
20030164,44,82,95,71,65,0, 
20030165,70,83,89,78,27,0, 
20030166,36,16,14,56,42,0, 
20030167,44,96,42,64,14,0, 
20030168,64,69,83,31,32,0, 
20030169,54,43,38,1,74,0, 
20030170,90,37,50,3,28,0, 
20030171,85,64,25,86,71,0, 
20030172,5,92,16,77,16,0, 
20030173,18,82,64,79,37,0, 
20030174,64,56,86,79,19,0, 
20030175,11,97,89,47,43,0, 
20030176,37,23,99,10,10,0, 
20030177,37,58,40,22,43,0, 
20030178,71,37,49,70,18,0, 
20030179,94,19,92,34,74,0, 
20030180,58,98,84,78,29,0, 
20030181,19,53,15,57,9,0, 
20030182,49,54,39,54,36,0, 
20030183,7,60,0,59,25,0, 
20030184,36,43,78,74,84,0, 
20030185,88,80,85,34,71,0, 
20030186,32,53,77,22,7,0, 
20030187,88,16,93,63,12,0, 
20030188,74,33,85,55,9,0, 
20030189,54,80,48,24,6,0, 
20030190,35,36,1,91,21,0, 
20030191,40,97,25,78,0,0, 
20030192,41,39,40,30,38,0, 
20030193,9,49,81,23,31,0, 
20030194,75,42,24,3,80,0, 
20030195,4,79,23,92,16,0, 
20030196,76,76,10,61,89,0, 
20030197,40,84,91,86,98,0, 
20030198,50,89,71,73,26,0, 
20030199,98,79,0,4,39,0, 
20030200,84,37,20,69,73,0, 
20030201,21,69,79,86,13,0, 
20030202,55,40,49,41,52,0, 
20030203,74,72,87,27,73,0, 
20030204,86,17,75,43,31,0, 
20030205,8,66,76,54,61,0, 
20030206,23,70,82,30,5,0, 
20030207,9,83,15,9,66,0, 
20030208,69,87,26,5,56,0, 
20030209,76,54,27,32,34,0, 
20030210,47,64,32,99,92,0, 
20030211,53,91,80,56,93,0, 
20030212,43,82,11,57,95,0, 
20030213,94,67,17,45,93,0, 
20030214,73,42,64,7,63,0, 
20030215,49,35,89,52,5,0, 
20030216,66,54,89,3,28,0, 
20030217,79,93,1,99,56,0, 
20030218,17,66,50,27,22,0, 
20030219,52,8,5,36,39,0, 
20030220,23,82,39,93,20,0, 
20030221,71,32,41,72,77,0, 
20030222,39,69,85,18,70,0, 
20030223,89,14,60,45,69,0, 
20030224,86,81,25,60,71,0, 
20030225,94,74,28,74,69,0, 
20030226,60,9,46,21,24,0, 
20030227,22,98,64,86,70,0, 
20030228,20,33,55,49,31,0, 
20030229,45,92,9,48,65,0, 
20030230,29,44,82,89,43,0, 
20030231,29,38,83,10,2,0, 
20030232,80,54,6,0,43,0, 
20030233,23,73,15,49,42,0, 
20030234,41,87,50,18,59,0, 
20030235,55,64,97,60,44,0, 
20030236,96,94,15,76,46,0, 
20030237,80,61,33,40,72,0, 
20030238,19,72,50,11,48,0, 
20030239,37,67,58,45,94,0, 
20030240,97,83,8,69,27,0, 
20030241,23,67,64,40,72,0, 
20030242,60,96,56,91,17,0, 
20030243,40,84,70,94,86,0, 
20030244,82,28,35,92,28,0, 
20030245,22,58,87,30,56,0, 
20030246,96,78,26,52,24,0, 
20030247,30,3,41,33,33,0, 
20030248,30,6,3,89,32,0, 
20030249,56,72,26,49,42,0, 
20030250,1,10,54,38,57,0, 
20030251,43,46,93,55,91,0, 
20030252,36,26,43,91,23,0, 
20030253,87,21,77,30,9,0, 
20030254,24,55,64,59,6,0, 
20030255,8,28,92,61,71,0, 
20030256,3,79,82,24,21,0, 
20030257,44,63,47,8,81,0, 
20030258,9,55,46,84,78,0, 
20030259,68,35,58,29,85,0, 
20030260,38,93,25,69,46,0, 
20030261,95,61,21,59,67,0, 
20030262,77,30,62,88,30,0, 
20030263,5,59,53,35,12,0, 
20030264,59,95,55,4,50,0, 
20030265,87,90,7,5,67,0, 
20030266,40,8,94,87,27,0, 
20030267,69,75,95,40,71,0, 
20030268,67,22,10,69,32,0, 
20030269,79,30,65,5,25,0, 
20030270,33,43,21,61,0,0, 
20030271,54,82,62,12,31,0, 
20030272,38,30,45,65,48,0, 
20030273,77,71,98,86,7,0, 
20030274,79,61,27,50,39,0, 
20030275,23,93,9,12,14,0, 
20030276,76,37,44,18,0,0, 
20030277,49,49,59,3,40,0, 
20030278,73,20,62,25,98,0, 
20030279,36,43,44,17,13,0, 
20030280,88,73,58,40,10,0, 
20030281,38,23,19,19,49,0, 
20030282,55,98,2,77,20,0, 
20030283,99,23,29,47,90,0, 
20030284,20,35,30,28,68,0, 
20030285,46,78,55,2,46,0, 
20030286,9,46,5,5,30,0, 
20030287,16,36,31,9,40,0, 
20030288,54,58,69,79,39,0, 
20030289,39,52,48,46,72,0, 
20030290,97,5,53,48,41,0, 
20030291,47,68,54,37,66,0, 
20030292,64,67,31,15,17,0, 
20030293,11,78,30,70,26,0, 
20030294,71,14,58,30,15,0, 
20030295,28,50,79,77,61,0, 
20030296,56,2,70,0,60,0, 
20030297,30,4,13,43,90,0, 
20030298,14,99,85,54,56,0, 
20030299,75,4,81,98,75,0, 
20030300,35,32,6,22,41,0, 
20030301,78,55,74,43,42,0, 
20030302,56,95,97,82,80,0, 
20030303,56,49,76,84,52,0, 
20030304,46,57,81,95,35,0, 
20030305,76,18,43,68,52,0, 
20030306,58,41,69,2,4,0, 
20030307,66,72,87,66,83,0, 
20030308,0,76,3,20,66,0, 
20030309,21,28,78,10,1,0, 
20030310,82,79,32,60,32,0, 
20030311,65,97,79,53,87,0, 
20030312,55,55,69,76,13,0, 
20030313,81,81,59,47,65,0, 
20030314,71,67,52,1,80,0, 
20030315,81,75,62,0,55,0, 
20030316,17,59,23,15,20,0, 
20030317,68,42,0,82,51,0, 
20030318,68,1,32,41,41,0, 
20030319,40,32,50,95,95,0, 
20030320,14,40,77,54,16,0, 
20030321,62,36,46,41,8,0, 
20030322,83,71,62,62,27,0, 
20030323,17,3,15,50,46,0, 
20030324,17,45,44,90,11,0, 
20030325,69,92,98,87,18,0, 
20030326,62,55,10,73,34,0, 
20030327,32,40,21,3,82,0, 
20030328,44,29,35,80,97,0, 
20030329,8,87,39,59,51,0, 
20030330,9,65,19,24,34,0, 
20030331,75,29,57,48,94,0, 
20030332,12,61,33,17,18,0, 
20030333,49,30,32,48,12,0, 
20030334,79,16,0,48,68,0, 
20030335,18,97,33,58,3,0, 
20030336,51,47,97,69,28,0, 
20030337,28,20,96,52,7,0, 
20030338,24,13,9,8,34,0, 
20030339,11,0,25,97,12,0, 
20030340,44,91,95,46,84,0, 
20030341,1,49,33,88,33,0, 
20030342,8,2,65,47,9,0, 
20030343,42,95,75,56,58,0, 
20030344,79,87,48,30,29,0, 
20030345,91,4,93,28,90,0, 
20030346,61,74,49,46,11,0, 
20030347,71,34,81,99,47,0, 
20030348,96,19,59,54,22,0, 
20030349,73,31,73,91,68,0, 
20030350,9,80,6,96,72,0, 
20030351,77,81,93,92,15,0, 
20030352,77,42,17,52,43,0, 
20030353,59,50,80,23,29,0, 
20030354,28,77,84,1,67,0, 
20030355,83,89,83,95,29,0, 
20030356,13,73,28,78,75,0, 
20030357,51,16,27,38,80,0, 
20030358,66,50,75,42,31,0, 
20030359,40,11,8,94,88,0, 
20030360,39,12,82,29,97,0, 
20030361,8,45,13,9,82,0, 
20030362,40,12,88,7,65,0, 
20030363,74,76,61,55,7,0, 
20030364,12,11,65,63,47,0, 
20030365,42,62,36,61,99,0, 
20030366,44,24,35,20,66,0, 
20030367,24,93,95,26,92,0, 
20030368,35,43,45,75,4,0, 
20030369,48,8,80,72,1,0, 
20030370,66,34,56,10,79,0, 
20030371,99,25,28,65,0,0, 
20030372,86,19,1,12,20,0, 
20030373,33,21,71,62,72,0, 
20030374,20,5,9,49,32,0, 
20030375,19,58,40,30,84,0, 
20030376,34,22,0,84,52,0, 
20030377,77,7,33,96,56,0, 
20030378,75,64,29,93,40,0, 
20030379,36,39,6,69,49,0, 
20030380,54,87,51,63,96,0, 
20030381,67,34,99,57,47,0, 
20030382,56,3,79,62,88,0, 
20030383,10,16,39,38,38,0, 
20030384,66,60,75,84,80,0, 
20030385,82,79,94,33,48,0, 
20030386,80,85,74,89,76,0, 
20030387,88,19,22,46,15,0, 
20030388,7,85,34,22,93,0, 
20030389,12,58,7,89,33,0, 
20030390,23,70,5,78,1,0, 
20030391,55,3,14,28,23,0, 
20030392,3,78,92,33,79,0, 
20030393,26,64,55,28,69,0, 
20030394,11,87,90,23,52,0, 
20030395,95,58,40,29,57,0, 
20030396,87,21,31,88,20,0, 
20030397,58,47,79,24,71,0, 
20030398,37,44,52,5,20,0, 
20030399,15,19,95,71,2,0, 
20030400,90,24,49,37,25,0, 
20030401,78,59,24,54,2,0, 
20030402,71,70,68,24,30,0, 
20030403,64,45,58,94,49,0, 
20030404,76,60,22,4,76,0, 
20030405,14,11,85,66,95,0, 
20030406,10,93,57,75,11,0, 
20030407,48,43,75,93,52,0, 
20030408,36,93,82,93,86,0, 
20030409,23,49,98,94,27,0, 
20030410,5,26,28,50,45,0, 
20030411,56,20,31,72,91,0, 
20030412,58,79,73,48,52,0, 
20030413,32,51,77,13,75,0, 
20030414,21,48,73,28,68,0, 
20030415,68,55,31,63,70,0, 
20030416,85,48,71,65,20,0, 
20030417,76,4,11,62,79,0, 
20030418,81,61,24,95,60,0, 
20030419,35,25,68,16,15,0, 
20030420,50,87,6,96,13,0, 
20030421,84,70,2,4,19,0, 
