ID,国語,数学,英語,理科,社会,合計,判定
19990001,58,81,66,46,35,0, 
19990002,67,93,65,64,75,0, 
19990003,79,53,93,30,79,0, 
19990004,61,38,74,4,30,0, 
19990005,50,36,36,99,70,0, 
19990006,93,87,63,38,71,0, 
19990007,99,49,15,31,60,0, 
19990008,3,79,49,33,99,0, 
19990009,29,35,64,89,59,0, 
19990010,7,38,13,5,4,0, 
19990011,10,18,33,55,81,0, 
19990012,78,21,96,96,21,0, 
19990013,96,22,47,51,88,0, 
19990014,56,86,80,74,97,0, 
19990015,64,3,34,84,4,0, 
19990016,55,23,18,11,68,0, 
19990017,87,61,21,62,1,0, 
19990018,21,78,74,74,24,0, 
19990019,88,70,25,34,11,0, 
19990020,59,60,75,15,58,0, 
19990021,86,96,78,12,9,0, 
19990022,98,95,84,71,46,0, 
19990023,17,20,98,10,73,0, 
19990024,36,12,21,36,4,0, 
19990025,37,43,97,47,18,0, 
19990026,49,2,26,29,38,0, 
19990027,53,3,87,41,82,0, 
19990028,42,13,16,69,89,0, 
19990029,94,70,16,89,30,0, 
19990030,73,82,82,76,4,0, 
19990031,57,35,58,59,16,0, 
19990032,72,34,15,24,84,0, 
19990033,68,53,39,0,86,0, 
19990034,85,34,14,30,88,0, 
19990035,4,45,2,41,49,0, 
19990036,48,24,50,33,66,0, 
19990037,24,75,9,42,43,0, 
19990038,25,34,83,57,48,0, 
19990039,44,18,42,61,89,0, 
19990040,83,8,81,14,41,0, 
19990041,47,1,68,15,49,0, 
19990042,51,63,40,42,95,0, 
19990043,76,95,83,55,2,0, 
19990044,57,19,75,23,67,0, 
19990045,93,36,34,53,7,0, 
19990046,48,14,93,48,99,0, 
19990047,76,6,64,3,55,0, 
19990048,64,87,3,14,19,0, 
19990049,74,29,90,52,29,0, 
19990050,18,12,4,64,89,0, 
19990051,70,68,25,88,56,0, 
19990052,58,69,36,43,97,0, 
19990053,49,32,4,12,62,0, 
19990054,65,88,79,99,87,0, 
19990055,41,23,42,15,53,0, 
19990056,43,75,88,85,85,0, 
19990057,23,53,20,22,4,0, 
19990058,89,80,4,65,43,0, 
19990059,69,86,71,62,67,0, 
19990060,61,86,9,31,30,0, 
19990061,5,59,65,66,88,0, 
19990062,7,11,13,46,29,0, 
19990063,55,20,33,57,17,0, 
19990064,1,47,90,64,83,0, 
19990065,55,45,2,55,66,0, 
19990066,68,63,81,12,20,0, 
19990067,86,30,3,79,82,0, 
19990068,13,29,38,63,10,0, 
19990069,72,18,86,12,32,0, 
19990070,10,25,41,25,28,0, 
19990071,44,48,49,83,99,0, 
19990072,69,58,99,8,52,0, 
19990073,64,77,49,45,43,0, 
19990074,89,66,65,6,28,0, 
19990075,27,2,43,72,30,0, 
19990076,7,92,22,76,27,0, 
19990077,99,20,2,62,84,0, 
19990078,47,47,32,43,67,0, 
19990079,24,95,76,50,78,0, 
19990080,87,37,54,68,48,0, 
19990081,83,2,50,27,79,0, 
19990082,30,58,35,24,59,0, 
19990083,67,42,44,33,53,0, 
19990084,77,75,2,9,38,0, 
19990085,1,74,83,85,62,0, 
19990086,2,75,54,11,26,0, 
19990087,64,59,37,37,3,0, 
19990088,2,3,69,28,75,0, 
19990089,56,69,75,57,0,0, 
19990090,56,81,16,84,45,0, 
19990091,7,77,8,51,50,0, 
19990092,92,80,73,15,99,0, 
19990093,50,35,89,11,48,0, 
19990094,93,56,99,34,26,0, 
19990095,11,25,85,7,53,0, 
19990096,85,88,59,14,37,0, 
19990097,69,86,21,95,76,0, 
19990098,81,38,14,86,59,0, 
19990099,97,53,72,44,32,0, 
19990100,56,55,85,54,28,0, 
19990101,73,89,40,7,33,0, 
19990102,10,21,73,77,2,0, 
19990103,89,93,36,73,38,0, 
19990104,24,43,73,11,50,0, 
19990105,79,14,4,58,35,0, 
19990106,21,11,45,75,16,0, 
19990107,51,64,97,8,51,0, 
19990108,43,59,45,32,45,0, 
19990109,81,93,29,90,37,0, 
19990110,5,8,35,87,59,0, 
19990111,62,73,59,10,28,0, 
19990112,94,65,98,46,94,0, 
19990113,29,32,84,20,88,0, 
19990114,87,72,15,29,14,0, 
19990115,80,34,91,2,41,0, 
19990116,2,48,83,78,28,0, 
19990117,92,62,23,20,49,0, 
19990118,83,50,28,93,21,0, 
19990119,2,5,43,8,52,0, 
19990120,71,9,96,61,21,0, 
19990121,17,80,81,3,48,0, 
19990122,97,23,0,16,34,0, 
19990123,11,22,39,74,40,0, 
19990124,96,15,66,9,83,0, 
19990125,36,34,69,87,17,0, 
19990126,68,0,49,23,51,0, 
19990127,23,8,61,61,28,0, 
19990128,98,3,35,36,53,0, 
19990129,72,51,35,89,46,0, 
19990130,82,60,72,90,29,0, 
19990131,77,47,22,63,97,0, 
19990132,77,75,48,86,5,0, 
19990133,86,10,97,44,86,0, 
19990134,97,33,57,26,37,0, 
19990135,7,79,78,50,43,0, 
19990136,56,50,22,9,60,0, 
19990137,18,55,19,32,26,0, 
19990138,1,84,70,72,94,0, 
19990139,61,71,78,74,10,0, 
19990140,4,34,23,39,23,0, 
19990141,5,23,82,27,54,0, 
19990142,21,52,18,28,41,0, 
19990143,26,64,35,33,61,0, 
19990144,60,98,17,84,51,0, 
19990145,58,68,13,94,37,0, 
19990146,73,56,62,12,80,0, 
19990147,90,85,0,33,0,0, 
19990148,31,15,50,93,47,0, 
19990149,50,12,8,15,75,0, 
19990150,30,57,95,86,60,0, 
19990151,44,80,29,83,47,0, 
19990152,26,80,84,19,97,0, 
19990153,11,61,21,19,8,0, 
19990154,13,23,59,66,43,0, 
19990155,33,35,92,15,91,0, 
19990156,46,36,88,34,48,0, 
19990157,64,89,82,56,96,0, 
19990158,37,90,22,92,11,0, 
19990159,0,15,38,29,4,0, 
19990160,17,16,0,95,92,0, 
19990161,38,44,28,41,76,0, 
19990162,39,88,55,55,98,0, 
19990163,53,97,93,5,55,0, 
19990164,13,73,66,80,65,0, 
19990165,52,67,23,8,52,0, 
19990166,66,60,0,21,88,0, 
19990167,0,42,36,77,17,0, 
19990168,10,46,32,16,74,0, 
19990169,95,47,9,68,49,0, 
19990170,65,92,15,19,25,0, 
19990171,55,42,59,72,10,0, 
19990172,13,39,33,16,8,0, 
19990173,78,59,98,53,29,0, 
19990174,98,96,48,33,86,0, 
19990175,8,17,70,82,55,0, 
19990176,69,44,24,31,14,0, 
19990177,7,13,87,69,93,0, 
19990178,75,93,37,48,10,0, 
19990179,86,45,62,64,32,0, 
19990180,33,60,51,89,92,0, 
19990181,95,85,56,67,5,0, 
19990182,40,60,61,75,22,0, 
19990183,77,94,2,40,81,0, 
19990184,37,28,77,24,25,0, 
19990185,84,63,90,68,43,0, 
19990186,67,54,19,99,71,0, 
19990187,18,21,96,60,2,0, 
19990188,61,10,14,34,13,0, 
19990189,63,30,33,49,44,0, 
19990190,33,71,68,46,89,0, 
19990191,73,99,70,45,76,0, 
19990192,19,50,7,23,62,0, 
19990193,58,48,8,98,9,0, 
19990194,73,74,32,27,92,0, 
19990195,64,21,45,24,26,0, 
19990196,52,45,22,54,5,0, 
19990197,21,17,74,64,88,0, 
19990198,80,55,5,15,54,0, 
19990199,89,58,60,0,73,0, 
19990200,67,54,54,15,36,0, 
19990201,14,17,97,12,43,0, 
19990202,37,51,68,93,99,0, 
19990203,30,44,11,66,66,0, 
19990204,4,4,88,25,18,0, 
19990205,63,55,90,47,83,0, 
19990206,44,50,54,89,18,0, 
19990207,89,19,3,97,98,0, 
19990208,62,54,73,96,2,0, 
19990209,32,13,45,48,22,0, 
19990210,96,27,26,59,92,0, 
19990211,26,13,13,89,50,0, 
19990212,90,28,41,60,84,0, 
19990213,22,73,3,39,96,0, 
19990214,67,84,88,89,12,0, 
19990215,11,45,84,82,47,0, 
19990216,47,87,8,91,8,0, 
19990217,57,1,80,69,59,0, 
19990218,19,87,39,68,68,0, 
19990219,82,65,6,30,50,0, 
19990220,58,49,88,56,48,0, 
19990221,72,55,42,50,28,0, 
19990222,2,7,35,31,36,0, 
19990223,38,64,32,32,61,0, 
19990224,45,67,52,96,82,0, 
19990225,29,77,89,54,63,0, 
19990226,99,5,42,92,37,0, 
19990227,66,61,86,83,16,0, 
19990228,96,17,79,98,58,0, 
19990229,85,56,25,2,17,0, 
19990230,89,17,12,21,94,0, 
19990231,73,31,62,30,33,0, 
19990232,45,76,67,83,90,0, 
19990233,68,4,38,55,90,0, 
19990234,88,2,48,70,74,0, 
19990235,26,36,20,31,71,0, 
19990236,54,51,80,68,90,0, 
19990237,9,88,40,4,19,0, 
19990238,68,57,27,7,52,0, 
19990239,47,39,61,80,2,0, 
19990240,77,2,16,43,65,0, 
19990241,5,60,48,59,10,0, 
19990242,29,77,85,48,17,0, 
19990243,61,72,42,99,52,0, 
19990244,44,11,32,83,97,0, 
19990245,99,90,61,12,37,0, 
19990246,36,27,62,44,75,0, 
19990247,84,36,63,98,19,0, 
19990248,35,86,82,33,83,0, 
19990249,64,34,42,27,23,0, 
19990250,75,19,75,33,30,0, 
19990251,14,39,17,62,71,0, 
19990252,95,95,68,43,84,0, 
19990253,13,3,41,42,57,0, 
19990254,73,16,52,98,30,0, 
19990255,20,71,32,19,4,0, 
19990256,37,42,25,74,18,0, 
19990257,71,1,18,18,86,0, 
19990258,12,83,97,47,48,0, 
19990259,6,6,44,5,14,0, 
19990260,70,14,62,45,73,0, 
19990261,73,29,34,89,39,0, 
19990262,20,81,43,74,41,0, 
19990263,16,39,22,20,4,0, 
19990264,32,10,13,69,47,0, 
19990265,69,78,53,9,90,0, 
19990266,40,15,30,23,93,0, 
19990267,92,61,91,73,83,0, 
19990268,68,8,53,19,34,0, 
19990269,59,43,23,17,71,0, 
19990270,10,37,26,36,51,0, 
19990271,13,9,63,17,25,0, 
19990272,89,60,58,28,62,0, 
19990273,75,10,91,15,16,0, 
19990274,46,21,28,75,55,0, 
19990275,98,55,15,86,69,0, 
19990276,76,95,65,0,11,0, 
19990277,40,96,63,21,86,0, 
19990278,27,27,69,1,70,0, 
19990279,9,10,33,58,10,0, 
19990280,11,77,48,27,38,0, 
19990281,41,29,80,19,12,0, 
19990282,35,14,47,94,19,0, 
19990283,44,20,31,50,18,0, 
19990284,48,83,97,42,36,0, 
19990285,9,25,34,45,81,0, 
19990286,61,46,69,53,6,0, 
19990287,26,38,14,36,31,0, 
19990288,40,76,38,90,87,0, 
19990289,88,8,22,85,30,0, 
19990290,80,37,13,13,1,0, 
19990291,26,44,9,97,4,0, 
19990292,20,37,57,42,8,0, 
19990293,1,12,95,17,48,0, 
19990294,87,88,4,0,58,0, 
19990295,57,36,13,13,45,0, 
19990296,48,70,1,70,17,0, 
19990297,84,69,90,98,0,0, 
19990298,31,35,28,20,15,0, 
19990299,92,99,90,21,35,0, 
19990300,48,69,19,19,38,0, 
19990301,11,87,5,47,65,0, 
19990302,76,38,93,35,6,0, 
19990303,89,58,27,42,92,0, 
19990304,54,49,27,58,84,0, 
19990305,91,83,3,93,31,0, 
19990306,44,89,33,44,53,0, 
19990307,45,38,32,18,82,0, 
19990308,35,41,18,73,95,0, 
19990309,67,60,4,98,24,0, 
19990310,75,86,51,70,19,0, 
19990311,50,93,17,94,78,0, 
19990312,38,21,30,28,85,0, 
19990313,89,87,85,87,4,0, 
19990314,33,47,4,64,84,0, 
19990315,66,6,90,36,37,0, 
19990316,96,77,90,7,85,0, 
19990317,57,42,61,18,56,0, 
19990318,97,74,63,41,82,0, 
