ID,国語,数学,英語,理科,社会,合計,判定
20120001,24,89,2,60,13,0, 
20120002,74,18,61,71,73,0, 
20120003,16,54,93,54,87,0, 
20120004,46,42,68,8,3,0, 
20120005,77,90,3,78,33,0, 
20120006,11,49,52,77,25,0, 
20120007,56,47,89,78,1,0, 
20120008,28,19,89,32,20,0, 
20120009,50,35,15,96,42,0, 
20120010,37,46,0,12,53,0, 
20120011,86,12,18,14,99,0, 
20120012,98,12,67,0,23,0, 
20120013,88,60,36,19,56,0, 
20120014,5,89,56,2,83,0, 
20120015,34,45,25,70,15,0, 
20120016,24,27,50,96,20,0, 
20120017,87,45,44,65,99,0, 
20120018,51,63,24,69,56,0, 
20120019,13,79,98,64,19,0, 
20120020,49,11,10,26,86,0, 
20120021,18,26,36,62,74,0, 
20120022,24,23,30,61,55,0, 
20120023,3,48,98,16,46,0, 
20120024,63,69,70,48,83,0, 
20120025,4,1,28,17,98,0, 
20120026,6,14,14,81,50,0, 
20120027,38,24,17,19,84,0, 
20120028,71,48,65,60,64,0, 
20120029,65,4,11,25,40,0, 
20120030,26,13,83,89,23,0, 
20120031,66,23,22,2,3,0, 
20120032,64,43,93,99,17,0, 
20120033,60,56,10,44,16,0, 
20120034,72,24,19,81,76,0, 
20120035,75,99,31,16,4,0, 
20120036,94,9,89,56,52,0, 
20120037,43,72,4,27,99,0, 
20120038,51,3,49,36,27,0, 
20120039,96,26,33,73,67,0, 
20120040,95,79,3,12,50,0, 
20120041,38,4,11,73,79,0, 
20120042,64,96,50,30,69,0, 
20120043,17,6,55,8,75,0, 
20120044,29,56,48,17,57,0, 
20120045,60,91,93,41,11,0, 
20120046,55,64,29,78,63,0, 
20120047,74,41,73,27,17,0, 
20120048,77,46,79,92,10,0, 
20120049,66,15,91,65,3,0, 
20120050,69,28,97,32,14,0, 
20120051,65,4,67,96,79,0, 
20120052,81,92,94,53,88,0, 
20120053,35,35,2,53,91,0, 
20120054,35,34,60,28,21,0, 
20120055,88,70,80,51,4,0, 
20120056,48,89,71,28,49,0, 
20120057,95,43,74,40,25,0, 
20120058,72,29,27,82,44,0, 
20120059,26,45,84,38,24,0, 
20120060,43,79,31,65,89,0, 
20120061,22,13,3,97,3,0, 
20120062,18,80,55,20,52,0, 
20120063,62,64,3,55,23,0, 
20120064,79,83,74,70,8,0, 
20120065,97,79,43,90,85,0, 
20120066,55,14,91,6,2,0, 
20120067,32,38,29,72,28,0, 
20120068,39,57,36,51,34,0, 
20120069,81,23,91,62,50,0, 
20120070,3,43,87,8,63,0, 
20120071,80,49,44,30,4,0, 
20120072,61,1,72,8,0,0, 
20120073,51,97,29,35,13,0, 
20120074,57,49,86,18,57,0, 
20120075,3,10,66,61,15,0, 
20120076,5,17,21,90,37,0, 
20120077,0,32,4,65,14,0, 
20120078,36,81,42,42,36,0, 
20120079,94,86,73,3,55,0, 
20120080,8,60,37,18,69,0, 
20120081,15,99,95,43,74,0, 
20120082,10,18,51,23,39,0, 
20120083,65,86,8,66,94,0, 
20120084,30,67,37,70,32,0, 
20120085,43,47,84,94,55,0, 
20120086,59,13,52,83,79,0, 
20120087,56,86,93,59,12,0, 
20120088,71,49,61,28,74,0, 
20120089,67,9,88,86,46,0, 
20120090,26,67,48,40,77,0, 
20120091,9,18,82,91,86,0, 
20120092,23,2,14,67,13,0, 
20120093,11,0,22,85,52,0, 
20120094,83,19,92,31,1,0, 
20120095,99,46,39,85,72,0, 
20120096,86,72,44,37,64,0, 
20120097,47,69,61,69,86,0, 
20120098,1,86,64,69,77,0, 
20120099,4,84,12,90,4,0, 
20120100,96,27,65,67,6,0, 
20120101,23,78,2,16,76,0, 
20120102,49,1,70,93,86,0, 
20120103,83,94,10,18,75,0, 
20120104,80,81,81,12,51,0, 
20120105,86,33,62,70,59,0, 
20120106,96,4,87,70,49,0, 
20120107,49,5,78,66,27,0, 
20120108,78,1,26,91,15,0, 
20120109,57,58,20,78,34,0, 
20120110,82,83,88,34,97,0, 
20120111,67,44,40,30,80,0, 
20120112,35,77,82,1,28,0, 
20120113,71,27,44,47,0,0, 
20120114,30,40,5,15,69,0, 
20120115,72,79,1,85,92,0, 
20120116,20,31,96,95,61,0, 
20120117,34,49,66,93,43,0, 
20120118,62,27,45,42,9,0, 
20120119,10,98,29,92,91,0, 
20120120,22,45,3,3,60,0, 
20120121,97,28,85,44,5,0, 
20120122,30,35,78,73,24,0, 
20120123,27,17,1,32,8,0, 
20120124,80,72,1,92,4,0, 
20120125,99,69,27,94,53,0, 
20120126,4,23,16,97,80,0, 
20120127,23,4,73,40,25,0, 
20120128,81,81,71,49,85,0, 
20120129,74,21,46,85,53,0, 
20120130,46,48,52,32,36,0, 
20120131,89,90,42,45,36,0, 
20120132,74,46,82,66,35,0, 
20120133,27,18,72,69,54,0, 
20120134,42,52,68,91,50,0, 
20120135,23,83,20,56,38,0, 
20120136,93,7,51,53,36,0, 
20120137,65,39,22,47,96,0, 
20120138,71,77,71,72,47,0, 
20120139,74,31,83,97,40,0, 
20120140,65,18,69,24,6,0, 
20120141,23,88,74,47,1,0, 
20120142,49,78,47,35,2,0, 
20120143,93,34,69,15,17,0, 
20120144,62,73,12,68,74,0, 
20120145,37,40,23,18,90,0, 
20120146,65,17,62,81,87,0, 
20120147,58,44,48,47,63,0, 
20120148,82,22,87,62,11,0, 
20120149,57,56,58,54,49,0, 
20120150,64,17,41,44,29,0, 
20120151,67,73,41,65,15,0, 
20120152,81,66,38,3,43,0, 
20120153,51,27,45,6,84,0, 
20120154,10,32,53,55,67,0, 
20120155,59,49,6,99,19,0, 
20120156,2,12,67,0,33,0, 
20120157,81,63,3,57,29,0, 
20120158,0,83,84,55,25,0, 
20120159,59,52,81,19,93,0, 
20120160,44,99,80,99,70,0, 
20120161,12,38,54,92,96,0, 
20120162,20,73,45,89,8,0, 
20120163,19,87,95,30,11,0, 
20120164,57,79,82,79,3,0, 
20120165,80,91,40,38,38,0, 
20120166,28,26,8,40,29,0, 
20120167,29,36,94,13,41,0, 
20120168,6,78,99,47,75,0, 
20120169,76,83,12,75,14,0, 
20120170,24,70,6,62,79,0, 
20120171,37,0,82,23,26,0, 
20120172,5,21,62,7,33,0, 
20120173,43,13,75,57,80,0, 
20120174,46,11,53,30,48,0, 
20120175,27,75,41,95,2,0, 
20120176,55,19,60,21,19,0, 
20120177,14,88,97,9,24,0, 
20120178,64,1,45,48,18,0, 
20120179,86,22,35,70,40,0, 
20120180,26,3,25,43,72,0, 
20120181,22,8,33,75,98,0, 
20120182,83,15,93,9,99,0, 
20120183,13,31,47,92,90,0, 
20120184,73,80,29,96,85,0, 
20120185,73,32,25,50,30,0, 
20120186,30,27,47,29,18,0, 
20120187,6,61,96,38,76,0, 
20120188,41,35,92,15,82,0, 
20120189,5,3,39,80,6,0, 
20120190,31,24,2,41,49,0, 
20120191,4,56,90,29,69,0, 
20120192,10,57,37,69,2,0, 
20120193,34,74,1,8,19,0, 
20120194,47,14,94,49,30,0, 
20120195,29,38,35,85,22,0, 
20120196,22,94,73,36,62,0, 
20120197,24,93,92,0,50,0, 
20120198,36,13,39,88,37,0, 
20120199,50,82,40,30,42,0, 
20120200,27,42,10,91,89,0, 
20120201,12,86,76,57,0,0, 
20120202,27,92,79,38,71,0, 
20120203,17,86,53,20,23,0, 
20120204,74,69,23,75,61,0, 
20120205,98,30,24,21,68,0, 
20120206,11,41,34,14,84,0, 
20120207,70,88,62,0,32,0, 
20120208,68,67,73,60,17,0, 
20120209,61,48,7,3,70,0, 
20120210,5,64,6,90,3,0, 
20120211,33,1,84,58,1,0, 
20120212,41,54,6,78,97,0, 
20120213,81,52,63,56,30,0, 
20120214,45,83,75,90,56,0, 
20120215,82,6,64,85,23,0, 
20120216,20,44,44,9,0,0, 
20120217,62,21,14,81,85,0, 
20120218,51,69,84,38,39,0, 
20120219,78,1,62,38,63,0, 
20120220,58,92,60,91,86,0, 
20120221,79,81,25,69,45,0, 
20120222,1,32,45,42,62,0, 
20120223,18,46,67,2,18,0, 
20120224,98,12,23,37,7,0, 
20120225,8,33,84,71,80,0, 
20120226,18,9,45,24,5,0, 
20120227,86,81,9,85,95,0, 
20120228,11,36,65,21,68,0, 
20120229,55,52,4,22,29,0, 
20120230,51,70,21,39,48,0, 
20120231,88,76,55,51,8,0, 
20120232,31,2,83,58,64,0, 
20120233,62,29,49,48,81,0, 
20120234,81,90,58,27,61,0, 
20120235,97,98,5,56,13,0, 
20120236,86,35,91,74,67,0, 
20120237,37,58,44,89,13,0, 
20120238,2,15,10,0,71,0, 
20120239,0,69,61,31,97,0, 
20120240,18,14,88,59,95,0, 
20120241,8,53,6,72,23,0, 
20120242,21,34,9,57,74,0, 
20120243,11,28,9,26,47,0, 
20120244,56,83,30,29,79,0, 
20120245,86,26,66,84,27,0, 
20120246,92,51,73,43,57,0, 
20120247,7,26,3,14,53,0, 
20120248,89,52,89,5,72,0, 
20120249,51,39,75,79,96,0, 
20120250,38,30,51,62,60,0, 
20120251,61,48,6,71,55,0, 
20120252,68,11,30,5,24,0, 
20120253,90,29,50,63,83,0, 
20120254,54,71,83,61,32,0, 
20120255,82,37,99,53,7,0, 
20120256,90,15,35,20,81,0, 
20120257,75,66,99,85,44,0, 
20120258,21,3,24,27,45,0, 
20120259,40,78,13,65,58,0, 
20120260,91,52,18,11,29,0, 
20120261,25,51,49,34,35,0, 
20120262,15,81,70,88,14,0, 
