ID,国語,数学,英語,理科,社会,合計,判定
20080001,41,19,88,98,12,258,不合格
20080002,11,68,96,2,82,259,不合格
20080003,37,89,66,59,49,300,合格
20080004,45,77,81,0,93,296,不合格
20080005,89,15,25,7,40,176,不合格
20080006,3,8,7,5,53,76,不合格
20080007,63,27,59,64,15,228,不合格
20080008,5,99,44,33,54,235,不合格
20080009,84,28,43,56,75,286,不合格
20080010,5,56,71,47,28,207,不合格
20080011,93,54,38,41,78,304,合格
20080012,37,80,30,38,50,235,不合格
20080013,80,88,50,82,28,328,合格
20080014,69,29,10,8,15,131,不合格
20080015,5,92,14,46,11,168,不合格
20080016,92,69,36,63,90,350,合格
20080017,71,22,96,42,85,316,合格
20080018,47,80,20,63,53,263,不合格
20080019,20,12,77,4,44,157,不合格
20080020,19,64,46,40,72,241,不合格
20080021,6,1,65,58,85,215,不合格
20080022,49,64,95,56,5,269,不合格
20080023,35,45,81,60,26,247,不合格
20080024,73,50,4,85,60,272,不合格
20080025,18,55,95,62,21,251,不合格
20080026,61,32,17,97,45,252,不合格
20080027,63,8,67,34,30,202,不合格
20080028,99,39,35,2,5,180,不合格
20080029,6,95,1,4,36,142,不合格
20080030,78,67,90,51,12,298,不合格
20080031,40,35,58,49,48,230,不合格
20080032,96,44,1,30,90,261,不合格
20080033,71,16,98,13,64,262,不合格
20080034,16,7,8,23,32,86,不合格
20080035,66,64,94,6,34,264,不合格
20080036,43,64,96,13,43,259,不合格
20080037,73,86,76,0,23,258,不合格
20080038,18,52,31,89,7,197,不合格
20080039,34,51,20,78,90,273,不合格
20080040,31,18,89,54,78,270,不合格
20080041,85,95,17,81,34,312,合格
20080042,40,7,51,62,92,252,不合格
20080043,80,49,3,31,35,198,不合格
20080044,87,91,6,66,0,250,不合格
20080045,61,92,6,80,87,326,合格
20080046,83,89,66,48,73,359,合格
20080047,57,91,43,72,53,316,合格
20080048,52,49,92,83,97,373,合格
20080049,32,87,79,72,68,338,合格
20080050,53,46,56,73,73,301,合格
20080051,28,42,52,71,40,233,不合格
20080052,51,40,88,32,4,215,不合格
20080053,17,96,33,11,82,239,不合格
20080054,11,22,27,58,41,159,不合格
20080055,13,89,61,53,41,257,不合格
20080056,84,77,11,93,31,296,不合格
20080057,41,45,17,63,96,262,不合格
20080058,26,27,81,98,58,290,不合格
20080059,4,40,79,76,17,216,不合格
20080060,17,12,18,23,62,132,不合格
20080061,63,73,38,93,17,284,不合格
20080062,21,30,77,65,62,255,不合格
20080063,1,55,52,61,46,215,不合格
20080064,53,16,64,53,57,243,不合格
20080065,63,23,74,55,36,251,不合格
20080066,7,45,61,90,15,218,不合格
20080067,60,70,54,25,96,305,合格
20080068,96,0,66,18,2,182,不合格
20080069,44,95,11,77,53,280,不合格
20080070,38,67,51,39,23,218,不合格
20080071,7,51,62,36,44,200,不合格
20080072,12,22,77,74,62,247,不合格
20080073,46,6,3,96,7,158,不合格
20080074,64,9,75,10,37,195,不合格
20080075,74,88,33,37,41,273,不合格
20080076,0,94,1,46,37,178,不合格
20080077,55,89,33,34,43,254,不合格
20080078,80,34,60,77,45,296,不合格
20080079,31,54,4,31,74,194,不合格
20080080,51,69,97,45,83,345,合格
20080081,7,40,74,15,71,207,不合格
20080082,87,2,84,69,97,339,合格
20080083,65,30,20,87,14,216,不合格
20080084,43,75,15,7,97,237,不合格
20080085,9,77,47,26,74,233,不合格
20080086,38,9,49,45,43,184,不合格
20080087,20,51,60,19,65,215,不合格
20080088,25,31,91,28,70,245,不合格
20080089,68,77,47,0,99,291,不合格
20080090,27,64,68,10,44,213,不合格
20080091,17,1,50,85,71,224,不合格
20080092,74,98,16,33,27,248,不合格
20080093,57,17,24,37,65,200,不合格
20080094,99,46,43,16,11,215,不合格
20080095,83,63,0,51,87,284,不合格
20080096,40,46,92,70,61,309,合格
20080097,98,98,28,91,63,378,合格
20080098,21,30,65,96,95,307,合格
20080099,77,18,40,34,85,254,不合格
20080100,68,48,45,42,66,269,不合格
20080101,42,64,52,16,96,270,不合格
20080102,27,90,65,5,30,217,不合格
20080103,25,43,45,10,65,188,不合格
20080104,81,89,19,37,84,310,合格
20080105,34,90,73,97,28,322,合格
20080106,60,85,59,35,44,283,不合格
20080107,79,50,98,5,30,262,不合格
20080108,62,1,12,97,95,267,不合格
20080109,81,61,78,77,34,331,合格
20080110,83,67,10,47,23,230,不合格
20080111,61,29,41,91,17,239,不合格
20080112,84,75,8,73,3,243,不合格
20080113,65,74,32,42,82,295,不合格
20080114,38,9,50,14,8,119,不合格
20080115,21,75,77,87,78,338,合格
20080116,57,43,27,96,68,291,不合格
20080117,28,40,37,64,21,190,不合格
20080118,46,80,61,70,43,300,合格
20080119,7,92,49,82,81,311,合格
20080120,20,43,76,37,92,268,不合格
20080121,9,44,85,17,37,192,不合格
20080122,1,77,72,0,64,214,不合格
20080123,7,54,6,96,17,180,不合格
20080124,42,41,97,65,88,333,合格
20080125,1,64,96,38,13,212,不合格
20080126,39,55,98,83,81,356,合格
20080127,91,58,55,35,93,332,合格
20080128,86,14,66,93,2,261,不合格
20080129,66,92,18,40,69,285,不合格
20080130,82,71,3,95,72,323,合格
20080131,98,51,88,41,32,310,合格
20080132,85,10,29,56,76,256,不合格
20080133,45,38,64,35,22,204,不合格
20080134,83,99,15,25,20,242,不合格
20080135,80,5,20,52,47,204,不合格
20080136,7,3,21,9,27,67,不合格
