ID,国語,数学,英語,理科,社会,合計,判定
20130001,69,19,32,27,52,199,不合格
20130002,21,47,4,30,42,144,不合格
20130003,74,69,5,8,46,202,不合格
20130004,31,76,50,32,48,237,不合格
20130005,38,62,58,99,68,325,合格
20130006,6,27,99,46,94,272,不合格
20130007,94,81,15,62,36,288,不合格
20130008,67,69,90,43,14,283,不合格
20130009,13,63,3,5,26,110,不合格
20130010,61,41,22,33,63,220,不合格
20130011,82,83,21,0,12,198,不合格
20130012,81,49,29,87,29,275,不合格
20130013,84,67,18,67,49,285,不合格
20130014,51,95,94,7,87,334,合格
20130015,99,89,2,83,96,369,合格
20130016,29,71,11,12,73,196,不合格
20130017,3,62,96,23,38,222,不合格
20130018,60,30,29,52,36,207,不合格
20130019,40,63,43,74,65,285,不合格
20130020,86,40,70,85,69,350,合格
20130021,57,39,87,85,89,357,合格
20130022,89,2,76,68,2,237,不合格
20130023,21,86,84,74,41,306,合格
20130024,27,92,68,3,31,221,不合格
20130025,18,2,71,14,37,142,不合格
20130026,39,46,82,1,53,221,不合格
20130027,86,25,90,88,52,341,合格
20130028,59,14,77,79,36,265,不合格
20130029,37,74,54,3,69,237,不合格
20130030,80,12,84,48,73,297,不合格
20130031,72,68,52,50,26,268,不合格
20130032,68,64,88,43,25,288,不合格
20130033,31,96,86,79,39,331,合格
20130034,34,27,5,46,67,179,不合格
20130035,8,77,74,45,19,223,不合格
20130036,19,14,38,67,22,160,不合格
20130037,66,90,98,89,33,376,合格
20130038,59,56,71,50,72,308,合格
20130039,8,63,57,93,8,229,不合格
20130040,51,31,94,34,93,303,合格
20130041,72,86,5,13,53,229,不合格
20130042,54,28,60,22,68,232,不合格
20130043,1,68,2,65,67,203,不合格
20130044,16,94,66,68,3,247,不合格
20130045,34,15,49,31,47,176,不合格
20130046,89,96,75,92,74,426,合格
20130047,30,47,35,17,13,142,不合格
20130048,71,93,83,31,59,337,合格
20130049,35,59,60,86,29,269,不合格
20130050,67,54,85,85,77,368,合格
20130051,77,80,32,38,84,311,合格
20130052,91,6,41,62,92,292,不合格
20130053,67,61,46,62,27,263,不合格
20130054,69,22,9,18,10,128,不合格
20130055,39,68,80,4,93,284,不合格
20130056,72,35,22,83,19,231,不合格
20130057,11,72,29,26,89,227,不合格
20130058,8,4,39,1,78,130,不合格
20130059,42,31,22,59,1,155,不合格
20130060,94,34,80,5,10,223,不合格
20130061,54,91,75,22,9,251,不合格
20130062,92,87,5,93,85,362,合格
20130063,98,65,33,1,73,270,不合格
20130064,57,59,65,3,87,271,不合格
20130065,61,82,84,26,44,297,不合格
20130066,59,44,34,77,34,248,不合格
20130067,42,1,80,46,90,259,不合格
20130068,59,83,8,2,25,177,不合格
20130069,4,24,41,25,32,126,不合格
20130070,88,96,50,49,63,346,合格
20130071,0,82,22,80,89,273,不合格
20130072,91,37,87,67,3,285,不合格
20130073,37,54,48,7,73,219,不合格
20130074,38,50,60,5,63,216,不合格
20130075,53,29,15,56,85,238,不合格
20130076,48,54,79,19,25,225,不合格
20130077,20,36,43,73,65,237,不合格
20130078,60,35,18,84,31,228,不合格
20130079,79,38,8,3,55,183,不合格
20130080,15,60,43,88,66,272,不合格
20130081,22,79,73,87,20,281,不合格
20130082,42,88,8,79,35,252,不合格
20130083,23,15,25,97,43,203,不合格
20130084,1,11,93,33,15,153,不合格
20130085,11,35,21,32,72,171,不合格
20130086,85,66,2,34,5,192,不合格
20130087,6,83,96,35,56,276,不合格
20130088,30,66,95,44,29,264,不合格
20130089,86,20,94,93,92,385,合格
20130090,35,53,5,52,44,189,不合格
20130091,17,88,24,23,1,153,不合格
20130092,62,32,28,98,54,274,不合格
20130093,98,68,74,41,47,328,合格
20130094,42,4,38,11,80,175,不合格
20130095,4,92,73,77,78,324,合格
20130096,6,80,61,19,81,247,不合格
20130097,98,16,96,2,89,301,合格
20130098,11,63,29,94,49,246,不合格
20130099,75,74,15,23,86,273,不合格
20130100,21,42,38,45,28,174,不合格
20130101,69,25,35,70,39,238,不合格
20130102,28,99,92,52,70,341,合格
20130103,72,54,69,24,91,310,合格
20130104,97,7,71,34,32,241,不合格
20130105,72,71,74,45,89,351,合格
20130106,57,34,41,65,41,238,不合格
20130107,13,40,25,18,69,165,不合格
20130108,98,90,72,73,34,367,合格
20130109,99,95,14,16,26,250,不合格
20130110,88,34,83,83,87,375,合格
20130111,18,20,41,46,93,218,不合格
20130112,20,78,4,28,19,149,不合格
20130113,1,80,18,84,47,230,不合格
20130114,48,41,77,77,11,254,不合格
20130115,92,53,87,47,68,347,合格
20130116,25,8,26,58,98,215,不合格
20130117,3,51,55,2,74,185,不合格
20130118,73,44,94,37,10,258,不合格
20130119,26,15,43,50,26,160,不合格
20130120,93,43,85,43,90,354,合格
20130121,38,33,75,66,93,305,合格
20130122,29,98,24,48,50,249,不合格
20130123,19,4,84,26,16,149,不合格
20130124,26,0,67,84,66,243,不合格
20130125,79,48,86,17,68,298,不合格
20130126,87,42,15,46,63,253,不合格
20130127,81,80,90,36,91,378,合格
20130128,49,55,18,21,93,236,不合格
20130129,87,41,9,93,0,230,不合格
20130130,61,82,0,26,24,193,不合格
20130131,18,11,7,46,10,92,不合格
20130132,83,94,85,12,56,330,合格
20130133,6,89,82,76,75,328,合格
20130134,79,6,14,15,1,115,不合格
20130135,46,30,52,57,73,258,不合格
20130136,70,33,35,98,94,330,合格
20130137,91,59,79,25,39,293,不合格
20130138,47,36,86,85,27,281,不合格
20130139,59,32,15,51,49,206,不合格
20130140,46,77,9,28,35,195,不合格
20130141,62,9,34,20,73,198,不合格
20130142,16,30,11,92,76,225,不合格
20130143,87,37,44,21,62,251,不合格
20130144,46,40,10,94,48,238,不合格
20130145,70,84,58,69,66,347,合格
20130146,38,21,65,35,26,185,不合格
20130147,83,43,11,39,58,234,不合格
20130148,80,96,67,99,18,360,合格
20130149,73,90,6,22,8,199,不合格
20130150,74,85,42,93,93,387,合格
20130151,14,15,88,50,99,266,不合格
20130152,28,58,34,50,14,184,不合格
20130153,8,75,90,12,34,219,不合格
