ID,国語,数学,英語,理科,社会,合計,判定
20040001,63,1,14,52,81,211,不合格
20040002,79,24,68,34,92,297,不合格
20040003,83,32,0,10,83,208,不合格
20040004,10,18,43,77,11,159,不合格
20040005,86,92,83,61,45,367,合格
20040006,74,67,77,4,13,235,不合格
20040007,58,50,74,79,25,286,不合格
20040008,59,44,92,43,49,287,不合格
20040009,81,22,96,63,77,339,合格
20040010,40,25,85,59,61,270,不合格
20040011,17,60,9,71,55,212,不合格
20040012,80,44,95,67,25,311,合格
20040013,54,7,41,18,16,136,不合格
20040014,31,26,89,77,35,258,不合格
20040015,99,24,60,76,42,301,合格
20040016,55,16,6,44,49,170,不合格
20040017,24,8,0,48,7,87,不合格
20040018,53,72,11,87,26,249,不合格
20040019,33,0,37,69,71,210,不合格
20040020,19,71,60,62,73,285,不合格
20040021,61,29,54,60,10,214,不合格
20040022,5,29,42,15,30,121,不合格
20040023,94,71,3,79,92,339,合格
20040024,39,74,95,42,91,341,合格
20040025,58,33,74,25,95,285,不合格
20040026,29,69,75,91,88,352,合格
20040027,87,94,19,82,14,296,不合格
20040028,26,17,18,89,32,182,不合格
20040029,48,56,25,80,63,272,不合格
20040030,60,97,91,71,82,401,合格
20040031,82,43,71,22,1,219,不合格
20040032,46,30,70,99,96,341,合格
20040033,14,24,36,89,70,233,不合格
20040034,34,87,45,18,55,239,不合格
20040035,6,66,91,51,28,242,不合格
20040036,48,17,49,56,11,181,不合格
20040037,57,82,0,27,27,193,不合格
20040038,76,67,56,7,38,244,不合格
20040039,38,83,51,3,26,201,不合格
20040040,33,54,34,47,39,207,不合格
20040041,13,24,42,54,29,162,不合格
20040042,38,93,66,6,68,271,不合格
20040043,38,44,74,57,6,219,不合格
20040044,36,84,89,55,95,359,合格
20040045,79,16,26,84,39,244,不合格
20040046,0,54,81,20,77,232,不合格
20040047,91,89,71,77,43,371,合格
20040048,93,60,71,36,49,309,合格
20040049,29,87,50,60,6,232,不合格
20040050,40,94,76,63,76,349,合格
20040051,15,87,48,88,70,308,合格
20040052,4,84,49,62,1,200,不合格
20040053,57,33,54,82,87,313,合格
20040054,33,77,43,14,82,249,不合格
20040055,72,76,50,63,50,311,合格
20040056,98,11,39,7,82,237,不合格
20040057,65,17,50,11,91,234,不合格
20040058,90,29,32,70,46,267,不合格
20040059,46,76,49,7,18,196,不合格
20040060,27,85,34,53,11,210,不合格
20040061,28,40,49,4,39,160,不合格
20040062,65,12,56,37,66,236,不合格
20040063,98,91,38,44,84,355,合格
20040064,12,31,22,11,21,97,不合格
20040065,41,21,90,22,34,208,不合格
20040066,73,82,58,56,85,354,合格
20040067,41,53,64,22,18,198,不合格
20040068,84,20,56,78,85,323,合格
20040069,46,7,28,34,34,149,不合格
20040070,85,56,6,86,44,277,不合格
20040071,95,51,13,32,64,255,不合格
20040072,80,12,25,71,26,214,不合格
20040073,66,46,24,19,87,242,不合格
20040074,44,33,7,56,82,222,不合格
20040075,70,88,70,31,8,267,不合格
20040076,92,55,45,22,45,259,不合格
20040077,76,76,63,84,43,342,合格
20040078,33,81,78,47,2,241,不合格
20040079,0,10,81,32,71,194,不合格
20040080,71,87,8,79,17,262,不合格
20040081,54,21,54,44,40,213,不合格
20040082,16,66,53,42,49,226,不合格
20040083,33,37,16,64,53,203,不合格
20040084,19,20,89,85,25,238,不合格
20040085,70,89,62,39,17,277,不合格
20040086,4,47,82,40,19,192,不合格
20040087,28,38,81,58,83,288,不合格
20040088,67,67,62,45,24,265,不合格
20040089,26,89,3,5,44,167,不合格
20040090,77,38,1,33,52,201,不合格
20040091,43,15,85,6,72,221,不合格
20040092,1,55,1,52,73,182,不合格
20040093,73,49,23,99,8,252,不合格
20040094,86,58,72,30,59,305,合格
20040095,59,26,54,60,90,289,不合格
20040096,56,50,64,58,36,264,不合格
